"id"
"Erin Krupka"
"Roberto Weber"
"Simon Gachter"
"Daniele Nosenzo"
"Martin Sefton"
"Erik Kimbrough"
"Alexander Vostroknutov"
"Uri Gneezy"
"Alex Imas"
"Kristóf Madarász"
"Jeffrey Carpenter"
"Erik Gong"
"Stephen Burks"
"Sthephen Leider"
"Ming Jiang"
"Christine L. Exley"
"Muriel Niederle"
"Lise Vesterlund"
"Alain Cohn"
"Michel André Maréchal"
"David Tannenbaum"
"Christian Lukas Zünd"
"Lata Gangadharan"
"Tarun Jain"
"Pushkar Maitra"
"Joseph Vecci"
"Leonie Gerhards"
"Giovanna D'Adda"
"Donja Darai"
"Nicola Pavanini"
"Hande Erkut"
"Abigail Barr"
"Tom Lane"
"Stepan Vesely"
"Christian Klöckner"
"Utteeyo Dasgupta"
"Subha Mani"
"Michal Bauer"
"Jana Cahlíková"
"Julie Chytilová"
"Tomáš Želinský"
"Daphne Chang"
"Eytan Adar"
"Alessandro Acquisti"
"Nikos Nikiforakis"
"Jörg Oechssler"
"Anwar Shah"
"Klaus Abbink"
"Toby Handfield"
"John Thrasher"
"Michalis Drouvelis"
"Andreas Kappes"
"Anne-Marie Nussberger"
"Nadira Faber"
"Guy Kahane"
"Julian Savulescu"
"Molly Crockett"
"Simon Felgendreher"
"Åsa Löfgren"
"Roy Chen"
"Ellen Garbarino"
"Robert Slonim"
"Marie Claire Villeval"
"Kay J. Thomsson"
"Michal Krawczyk"
"Joanna Tyrowicz"
"Anna Kukla-Gryz"
"Wojciech Hardy"
"Björn Bartling"
"Yagiz Özdemir"
"Cristina Bicchieri"
"Eugen Dimant"
"Gary Bolton"
"Ulrich Schmidt"
"Giuseppe Attanasi"
"Claire Rimbaud"
"Judd Kessler"
"Nives Della Valle"
"Matteo Ploner"
"Joshua Miller"
"Marco Faillo"
"Matteo Rizzolli"
"Stephan Tontrup"
"Timo Goeschl"
"Sara Elisa Kettner"
"Johannes Lohse"
"Christiane Schwieren"
"Mark Bernard"
"Ernesto Reuben"
"Arno Riedl"
"Simon Bartke"
"Steven J. Bosworth"
"Dennis J. Snower"
"Gabriele Chierchia"
"Aidin Hajikhameneh"
"Louise Grogan"
"Fraser Summerfield"
"Lasse Loft"
"Stefan Gehrig"
"Dung Ngoc Le"
"Jens Rommel"
"Johannes König"
"Levent Neyse"
"Carsten Schröder"
"Erik Wengström"
"Folco Panizza"
"Giorgio Coricelli"
"Felix Kolle"
"Chris Starmer"
