"id"
"Erin Krupka"
"Simon Gachter"
"Daniele Nosenzo"
"Uri Gneezy"
"Alex Imas"
"Stephen Burks"
"Hande Erkut"
"Utteeyo Dasgupta"
"Nikos Nikiforakis"
"Jörg Oechssler"
"Michal Krawczyk"
"Joanna Tyrowicz"
"Anna Kukla-Gryz"
"Wojciech Hardy"
"Mark Bernard"
"Ernesto Reuben"
"Daphne Chang"
"Roy Chen"
"Kathrin Dengler-Roscher"
"Natalia Montinari"
"Marian Panganiban"
"Matteo Ploner"
"Seungjun Ahn"
"Byungjoo Choi"
"Eryk Krysowski"
"Cristina Bicchieri"
"Erte Xiao"
"Marco Faillo"
"Stefania Ottone"
"Astrid Matthey"
"Christoph Engel"
"Moya Miller"
"Alex K. Chavez"
"Edward Lazear"
"Ulrike Malmendier"
"Roberto Weber"
"Martin Sefton"
"Kristóf Madarász"
"Subha Mani"
"Anwar Shah"
"Arno Riedl"
"Benedikt Werner"
"SangHyun Lee"
"James Tremewan"
"Lorenzo Sacconi"
"Tobias Regner"
"Michael Kurschilgen"
"Molla Ubeda"
"Stepan Vesely"
"Nan Zhang"
"Trevor Hannesson Kvaran"
"Iryna Momotenko"
"John List"
