id;last_name;first_name;gender;subdomain;domain;location
Aaron Kamm;Kamm;Aaron;m;eco;Eco;Other
Abhijit Ramalingam;Ramalingam;Abhijit;m;eco;Eco;US
Abigail Barr;Barr;Abigail;m;eco;Eco;Europe
Achim Schluter;Schluter;Achim;f;eco;Eco;Europe
Ada Wossink;Wossink;Ada;m;eco;Eco;Europe
Adam Isen;Isen;Adam;m;eco;Eco;US
Adrian Chadi;Chadi;Adrian;m;eco;Eco;Europe
Adrian Lupusor;Lupusor;Adrian;m;medecine;Other;Other
Ahmed Skali;Skali;Ahmed;m;eco;Eco;Other
Aidin Hajikhameneh;Hajikhameneh;Aidin;m;eco;Eco;US
Alain Cohn;Cohn;Alain;m;eco;Eco;Europe
Alberto Antonioni;Antonioni;Alberto;m;eco;Eco;Other
Alec N. Sproten;Sproten;Alec N.;m;eco;Eco;Europe
Alessandro Acquisti;Acquisti;Alessandro;m;eco;Eco;US
Alex Imas;Imas;Alex;m;eco;Eco;US
Alex K. Chavez;Chavez;Alex K.;m;psycho;Psycho;US
Alex Nikolsko-Rzhevskyy;Nikolsko-Rzhevskyy;Alex;m;eco;Eco;US
Alexander Vostroknutov;Vostroknutov;Alexander;m;eco;Eco;Other
Alice Guerra;Guerra;Alice;f;eco;Eco;Europe
Alisa Frik;Frik;Alisa;f;eco;Eco;US
Ananta Neelim;Neelim;Ananta;NA;eco;Eco;Other
Andrea Guido;Guido;Andrea;m;eco;Eco;Europe
Andreas Kappes;Kappes;Andreas;m;psycho;Psycho;Europe
Andreas Ziegler;Ziegler;Andreas;m;eco;Eco;Other
Andrew Hussey;Hussey;Andrew;m;eco;Eco;US
Anett John;John;Anett;f;eco;Eco;Europe
Angel Sanchez;Sanchez;Angel;m;Maths/physics;Other;Other
Anna Kukla-Gryz;Kukla-Gryz;Anna;f;eco;Eco;Other
Anne-Marie Nussberger;Nussberger;Anne-Marie;f;psycho;Psycho;Europe
Antonio Nicolò;Nicolò;Antonio;m;eco;Eco;Other
Anwar Shah;Shah;Anwar;m;eco;Eco;Other
Arno Apffelstaedt;Apffelstaedt;Arno;m;eco;Eco;Europe
Arno Riedl;Riedl;Arno;m;eco;Eco;Other
Aron Szekely;Szekely;Aron;m;eco;Eco;Europe
Arthur Schram;Schram;Arthur;m;eco;Eco;Other
Arvid Erlandsson;Erlandsson;Arvid;m;eco;Eco;Other
Åsa Löfgren;Löfgren;Åsa;f;eco;Eco;Other
Astrid Matthey;Matthey;Astrid;f;eco;Eco;Europe
Azzurra Morreale;Morreale;Azzurra;f;eco;Eco;Other
Bachir Kassas;Kassas;Bachir;m;eco;Eco;US
Benedikt Werner;Werner;Benedikt;m;psycho;Psycho;Europe
Benjamin Hausinger;Hausinger;Benjamin;m;eco;Eco;Other
Benjamin M. Marx;Marx;Benjamin M.;m;eco;Eco;US
Björn Bartling;Bartling;Björn;m;eco;Eco;Europe
Blaine Robbins;Robbins;Blaine;m;psycho;Psycho;Other
Brenda Elizabeth Ryan;Ryan;Brenda Elizabeth;f;neuroscience;Other;Other
Bryan McCannon;McCannon;Bryan;m;eco;Eco;US
Byungjoo Choi;Choi;Byungjoo;m;engineer;Other;Other
Carlo Gallier;Gallier;Carlo;m;eco;Eco;Europe
Carsten Schröder;Schröder;Carsten;m;eco;Eco;Europe
Catherine Eckel;Eckel;Catherine;f;eco;Eco;US
Chris Starmer;Starmer;Chris;m;eco;Eco;Europe
Christian Klöckner;Klöckner;Christian;m;psycho;Psycho;Other
Christian König-Kersting;König-Kersting;Christian;m;eco;Eco;Europe
Christian Lukas Zünd;Zünd;Christian Lukas;m;eco;Eco;Europe
Christiane Schwieren;Schwieren;Christiane;f;eco;Eco;Europe
Christine L. Exley;Exley;Christine L.;f;eco;Eco;US
Christoph Engel;Engel;Christoph;m;law & eco;Eco;Europe
Christoph Huber;Huber;Christoph;m;eco;Eco;Europe
Christoph Oslislo;Oslislo;Christoph;m;eco;Eco;Europe
Christoph Rossler;Rossler;Christoph;m;eco;Eco;Europe
Christopher Starke;Starke;Christopher;m;information and communication;Other;Other
Claire Cullen;Cullen;Claire;f;eco;Eco;Europe
Claire Rimbaud;Rimbaud;Claire;f;eco;Eco;Europe
Cristina Bicchieri;Bicchieri;Cristina;f;eco;Eco;US
Cyril Brandt;Brandt;Cyril;m;eco;Eco;Other
Danae Arroyos-Calvera;Arroyos-Calvera;Danae;f;eco;Eco;Europe
Daniel Iragorri-Carter;Iragorri-Carter;Daniel;m;psycho;Psycho;Other
Daniel Karell;Karell;Daniel;m;Sociology;Other;US
Daniel Vastfjall;Vastfjall;Daniel;m;psycho;Psycho;Other
Daniela Saban;Saban;Daniela;f;eco;Eco;US
Daniele Nosenzo;Nosenzo;Daniele;m;eco;Eco;Europe
Daphne Chang;Chang;Daphne;f;eco;Eco;US
David A. Taylor;Taylor;David A.;m;eco;Eco;US
David Rand;Rand;David;m;eco;Eco;US
David Tannenbaum;Tannenbaum;David;m;psycho;Psycho;US
Denis Tverskoi;Tverskoi;Denis;m;Maths;Other;US
Dennis J. Snower;Snower;Dennis J.;m;eco;Eco;Europe
Dimitri Dubois;Dubois;Dimitri;m;eco;Eco;Europe
Donja Darai;Darai;Donja;f;eco;Eco;Europe
Dung Ngoc Le;Le;Dung Ngoc;m;eco;Eco;Other
Edward Lazear;Lazear;Edward;m;eco;Eco;US
Eline de Rooij;de Rooij;Eline;f;eco;Eco;Other
Ellen Garbarino;Garbarino;Ellen;f;eco;Eco;Other
Erik Gong;Gong;Erik;m;eco;Eco;US
Erik Kimbrough;Kimbrough;Erik;m;eco;Eco;US
Erik Wengström;Wengström;Erik;m;eco;Eco;Other
Erin Krupka;Krupka;Erin;f;eco;Eco;US
Ernesto Reuben;Reuben;Ernesto;m;eco;Eco;Other
Ernst Fehr;Fehr;Ernst;m;eco;Eco;Europe
Erte Xiao;Xiao;Erte;f;eco;Eco;Other
Eryk Krysowski;Krysowski;Eryk;m;eco;Eco;Europe
Esteban Freidin;Freidin;Esteban;m;eco;Eco;Other
Eugen Dimant;Dimant;Eugen;m;eco;Eco;US
Eugenio Verrina;Verrina;Eugenio;m;eco;Eco;Europe
Eva Anggraini;Anggraini;Eva;f;eco;Eco;Other
Eva Ranehill;Ranehill;Eva;f;eco;Eco;Other
Eytan Adar;Adar;Eytan;m;computer science;Other;US
Fabio Galeotti;Galeotti;Fabio;m;eco;Eco;Europe
Fabio Tufano;Tufano;Fabio;m;eco;Eco;Europe
Felix Klimm;Klimm;Felix;m;eco;Eco;Europe
Felix Kolle;Kolle;Felix;m;eco;Eco;Europe
Felix Noth;Noth;Felix;m;eco;Eco;Europe
Florian Diekert;Diekert;Florian;m;eco;Eco;Other
Florian Timme;Timme;Florian;m;eco;Eco;Europe
Floyd Mwansa;Mwansa;Floyd;m;eco;Eco;Other
Folco Panizza;Panizza;Folco;m;eco;Eco;Europe
Fortuna Casoria;Casoria;Fortuna;f;eco;Eco;Europe
Francesca Lipari;Lipari;Francesca;f;eco;Eco;Other
Francesco Fallucchi;Fallucchi;Francesco;m;eco;Eco;Europe
Francesco Passarelli;Passarelli;Francesco;m;eco;Eco;Europe
Frank Kee;Kee;Frank;m;medecine;Other;Europe
Fraser Summerfield;Summerfield;Fraser;m;eco;Eco;Other
Gabriel Gertsch;Gertsch;Gabriel;m;law & eco;Eco;Europe
Gabriele Chierchia;Chierchia;Gabriele;m;neuroscience;Other;Europe
Gary Bolton;Bolton;Gary;m;eco;Eco;US
Gerben A van Kleef;van Kleef;Gerben A;m;psycho;Psycho;Other
Gilles Grolleau;Grolleau;Gilles;m;eco;Eco;Europe
Giorgia Romagnoli;Romagnoli;Giorgia;f;eco;Eco;Other
Giorgio Coricelli;Coricelli;Giorgio;m;eco;Eco;US
Giovanna D'Adda;D'Adda;Giovanna;f;eco;Eco;Europe
Giulia Andrighetto;Andrighetto;Giulia;f;Philosophy;Other;Europe
Giuseppe Attanasi;Attanasi;Giuseppe;m;eco;Eco;Europe
Giuseppe Dari-Mattiacci;Dari-Mattiacci;Giuseppe;m;eco;Eco;Other
Gordon Kraft-Todd;Kraft-Todd;Gordon;m;psycho;Psycho;US
Greg DeAngelo;DeAngelo;Greg;m;law & eco;Eco;US
Guido Tabellini;Tabellini;Guido;m;eco;Eco;Europe
Gustav Tinghog;Tinghog;Gustav;m;eco;Eco;Other
Guy Kahane;Kahane;Guy;m;psycho;Psycho;Europe
Hande Erkut;Erkut;Hande;f;eco;Eco;Europe
Hanna Fromell;Fromell;Hanna;f;eco;Eco;Other
Hanna Hoover;Hoover;Hanna;f;eco;Eco;US
Hannes Rusch;Rusch;Hannes;m;eco;Eco;Other
Hezhi Chen;Chen;Hezhi;f;psycho;Psycho;Other
Iftekhar Hasan;Hasan;Iftekhar;m;eco;Eco;US
Ignacio Andres Rios;Andres Rios;Ignacio;m;eco;Eco;US
Iryna Momotenko;Momotenko;Iryna;f;eco;Eco;Europe
Isabel Marcin;Marcin;Isabel;f;eco;Eco;Europe
Israel Waichman;Waichman;Israel;m;eco;Eco;Europe
Ivan Soraperra;Soraperra;Ivan;m;eco;Eco;Other
Ivo Schurtenberger;Schurtenberger;Ivo;m;eco;Eco;Europe
J. Jobu Babin;Babin;J. Jobu;m;eco;Eco;US
James Asher;Asher;James;m;eco;Eco;Europe
James Tremewan;Tremewan;James;m;eco;Eco;Other
Jana Cahlíková;Cahlíková;Jana;f;eco;Eco;Europe
Jana Freundt;Freundt;Jana;f;eco;Eco;US
Janneke Blijlevens;Blijlevens;Janneke;f;eco;Eco;Other
Jeffrey Carpenter;Carpenter;Jeffrey;m;eco;Eco;US
Jeffrey R. Dewitt;Dewitt;Jeffrey R.;m;psycho;Psycho;US
Jennifer M. Murray;Murray;Jennifer M.;f;health;Other;Europe
Jens Rommel;Rommel;Jens;m;eco;Eco;Other
Jianhong Ma;Ma;Jianhong;m;psycho;Psycho;Other
Jin Di Zheng;Zheng;Jin Di;f;eco;Eco;Other
Jingnan Chen;Chen;Jingnan;f;eco;Eco;Europe
Joachim Weimann;Weimann;Joachim;m;eco;Eco;Europe
Joanna McHugh Power;McHugh Power;Joanna;f;psycho;Psycho;Other
Joanna Tyrowicz;Tyrowicz;Joanna;f;eco;Eco;Other
Joanne Peryman;Peryman;Joanne;f;eco;Eco;Other
Johannes König;König;Johannes;m;eco;Eco;Europe
Johannes Lohse;Lohse;Johannes;m;eco;Eco;Europe
John List;List;John;m;eco;Eco;US
John Thrasher;Thrasher;John;m;Philosophy;Other;Other
Jon Reiersen;Reiersen;Jon;m;eco;Eco;Other
Jörg Oechssler;Oechssler;Jörg;m;eco;Eco;Europe
Joschka Waibel;Waibel;Joschka;m;eco;Eco;Europe
Joseph Luomba;Luomba;Joseph;m;Sociology;Other;Other
Joseph Vecci;Vecci;Joseph;m;eco;Eco;Other
Joshua Miller;Miller;Joshua;m;eco;Eco;Other
Judd Kessler;Kessler;Judd;m;eco;Eco;US
Julian Savulescu;Savulescu;Julian;m;Science (ethics, biology);Other;Europe
